IP_Module,LUT_Used,FF_Used,WNS_ns,Max_Logic_Level
soc_design_i/axi_interconnect_0/xbar/inst/gen_sasd.crossbar_sasd_0/splitter_aw,12,3,10.474,2
soc_design_i/axis_dwidth_converter_0/inst,14,169,15.775,0
soc_design_i/axis_dwidth_converter_0/inst/gen_upsizer_conversion.axisc_upsizer_0,13,168,12.766,1
soc_design_i/npu_axi_wrapper_0/inst,16612,46970,-5.952,29
soc_design_i/npu_axi_wrapper_0/inst/u_npu,16605,46845,N/A,0
soc_design_i/npu_axi_wrapper_0/inst/u_npu/u_buf,10593,30877,-8.699,8
soc_design_i/npu_axi_wrapper_0/inst/u_npu/u_ctrl,72,36,-7.617,30
soc_design_i/npu_axi_wrapper_0/inst/u_npu/u_fc,1434,4031,-1.384,5
soc_design_i/npu_axi_wrapper_0/inst/u_npu/u_pe,448,24,-1.310,5
soc_design_i/npu_axi_wrapper_0/inst/u_npu/u_pool,3857,11877,-3.470,9
soc_design_i/proc_sys_reset_0/U0,17,33,-1.966,1
soc_design_i/proc_sys_reset_0/U0/EXT_LPF,5,17,17.188,1
soc_design_i/proc_sys_reset_0/U0/SEQ,12,15,17.613,1
soc_design_i/proc_sys_reset_0/U0/EXT_LPF/ACTIVE_LOW_AUX.ACT_LO_AUX,1,4,18.508,1
soc_design_i/proc_sys_reset_0/U0/EXT_LPF/ACTIVE_LOW_EXT.ACT_LO_EXT,2,4,18.303,1
soc_design_i/proc_sys_reset_0/U0/SEQ/SEQ_COUNTER,5,6,17.949,1
soc_design_i/processing_system7_0/inst,0,0,8.428,2
soc_design_i/smartconnect_0/inst,715,671,N/A,0
soc_design_i/smartconnect_0/inst/clk_map,13,22,N/A,0
soc_design_i/smartconnect_0/inst/m00_exit_pipeline,197,143,N/A,0
soc_design_i/smartconnect_0/inst/m00_sc2axi,0,0,N/A,0
soc_design_i/smartconnect_0/inst/s00_axi2sc,0,0,N/A,0
soc_design_i/smartconnect_0/inst/s00_entry_pipeline,339,362,N/A,0
soc_design_i/smartconnect_0/inst/s00_nodes,170,144,N/A,0
soc_design_i/smartconnect_0/inst/clk_map/psr_aclk,13,22,N/A,0
soc_design_i/smartconnect_0/inst/clk_map/psr_aclk/U0,13,22,,1
soc_design_i/smartconnect_0/inst/clk_map/psr_aclk/U0/EXT_LPF,3,6,16.963,1
soc_design_i/smartconnect_0/inst/clk_map/psr_aclk/U0/SEQ,10,15,17.319,1
soc_design_i/smartconnect_0/inst/clk_map/psr_aclk/U0/EXT_LPF/ACTIVE_LOW_AUX.ACT_LO_AUX,1,4,18.276,0
soc_design_i/smartconnect_0/inst/clk_map/psr_aclk/U0/SEQ/SEQ_COUNTER,5,6,17.650,1
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit,197,143,N/A,0
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst,197,143,13.999,1
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/exit_inst,18,11,16.535,2
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/splitter_inst,178,127,15.678,2
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/xpm_cdc_async_rst_inst,1,3,18.384,0
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/exit_inst/gen_r_cmd_fifo.r_cmd_fifo,17,10,15.587,1
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/exit_inst/gen_r_cmd_fifo.r_cmd_fifo/gen_srls[10].srl_nx1,1,0,17.375,1
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/exit_inst/gen_r_cmd_fifo.r_cmd_fifo/gen_srls[15].srl_nx1,1,0,N/A,0
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/exit_inst/gen_r_cmd_fifo.r_cmd_fifo/gen_srls[3].srl_nx1,1,0,17.016,1
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/splitter_inst/gen_axi3.splitter_inst,177,126,10.657,5
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/splitter_inst/gen_axi3.splitter_inst/ar_cmd_reg,108,61,10.988,5
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/splitter_inst/gen_axi3.splitter_inst/gen_rsplitter.gen_rthread_loop[0].r_split_fifo,16,9,16.166,1
soc_design_i/smartconnect_0/inst/m00_exit_pipeline/m00_exit/inst/splitter_inst/gen_axi3.splitter_inst/gen_rsplitter.gen_rthread_loop[0].r_split_fifo/gen_srls[0].srl_nx1,3,0,17.382,1
soc_design_i/smartconnect_0/inst/m00_sc2axi/inst,0,0,N/A,0
soc_design_i/smartconnect_0/inst/s00_axi2sc/inst,0,0,N/A,0
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_mmu,78,116,N/A,0
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter,262,246,N/A,0
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_transaction_regulator,0,0,N/A,0
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_mmu/inst,78,116,12.031,3
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_mmu/inst/ar_reg_stall,51,92,12.162,4
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_mmu/inst/gen_endpoint.decerr_slave_inst,20,11,12.629,3
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_mmu/inst/xpm_cdc_async_rst_inst,1,3,18.440,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst,262,246,10.827,4
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst,260,242,10.691,4
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/xpm_cdc_async_rst_inst,1,3,18.157,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/ar_reg_slice,65,120,13.699,3
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo,79,27,15.574,2
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_payld_fifo,101,55,10.186,4
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[0].srl_nx1,2,0,17.270,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[10].srl_nx1,2,0,17.316,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[11].srl_nx1,2,0,17.330,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[12].srl_nx1,2,0,17.169,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[13].srl_nx1,2,0,17.248,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[14].srl_nx1,2,0,17.170,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[15].srl_nx1,2,0,17.335,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[17].srl_nx1,2,0,17.317,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[19].srl_nx1,3,0,17.311,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[1].srl_nx1,2,0,17.396,1
soc_design_i/smartconnect_0/inst/s00_entry_pipeline/s00_si_converter/inst/converter.wrap_narrow_inst/gen_thread_loop[0].r_cmd_fifo/gen_srls[20].srl_nx1,4,0,17.153,1
